,Condition,Concentration,Time,splist,sp1OD,sp2OD,sp3OD,sp4OD,sp5OD,sp6OD,sp7OD,sp8OD,sp9OD,sp10OD,sp11OD,sp12OD,sp13OD,sp14OD,Antibiotic
0,CD-DP,0.375,48,"['CD', 'DP']",0.000306691,0,0.043470591,0,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
1,CD-DP,0.1875,48,"['CD', 'DP']",0.013720249,0,0.06334601,0,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
2,CD-DP,0.09375,48,"['CD', 'DP']",0.056594822,0,0.107244944,0,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
3,CD-DP,0.046875,48,"['CD', 'DP']",0.052692515,0,0.097367247,0,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
4,CD-BT,0.1875,48,"['CD', 'BT']",0.008860142,0,0,0,0,0,0,0,0,0,0.490948043,0,0,0,Fidaxomicin
5,CD-BH,0.046875,48,"['CD', 'BH']",0.102262476,0,0,0,0.074314218,0,0,0,0,0,0,0,0,0,Fidaxomicin
6,CD-DP,0.0234375,48,"['CD', 'DP']",0.074209085,0,0.062568008,0,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
9,CD-BT,0.046875,48,"['CD', 'BT']",0.000635839,0,0,0,0,0,0,0,0,0,0.352339491,0,0,0,Fidaxomicin
10,CD-BO,0.375,48,"['CD', 'BO']",0.000790702,0,0,0,0,0,0,0,0,0.384478691,0,0,0,0,Fidaxomicin
11,CD-BH,0.375,48,"['CD', 'BH']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
12,CD-BO,0.1875,48,"['CD', 'BO']",0.000882285,0,0,0,0,0,0,0,0,0.447847629,0,0,0,0,Fidaxomicin
14,CD-BO,0.09375,48,"['CD', 'BO']",0.000767139,0,0,0,0,0,0,0,0,0.317829162,0,0,0,0,Fidaxomicin
15,CD-FP,0.0234375,48,"['CD', 'FP']",0.160492855,0,0,0.09741936,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
16,CD-BT,0.0234375,48,"['CD', 'BT']",0.001692571,0,0,0,0,0,0,0,0,0,0.477695564,0,0,0,Fidaxomicin
18,CD-BO,0.046875,48,"['CD', 'BO']",0.000997709,0,0,0,0,0,0,0,0,0.277913637,0,0,0,0,Fidaxomicin
19,CD-BT,0.09375,48,"['CD', 'BT']",0.000673947,0,0,0,0,0,0,0,0,0,0.340779459,0,0,0,Fidaxomicin
20,CD-BH,0.1875,48,"['CD', 'BH']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fidaxomicin
