,Condition,Concentration,Time,splist,sp1OD,sp2OD,sp3OD,sp4OD,sp5OD,sp6OD,sp7OD,sp8OD,sp9OD,sp10OD,sp11OD,sp12OD,sp13OD,sp14OD,Antibiotic
0,SEHE90_1,48.0,48,[1],0.0027965346534653433,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
1,SEHE90_1,48.0,48,[1],0.0015959183673469293,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
2,SEHE90_1,48.0,48,[1],0.002799999999999997,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
3,SEHE90_2,48.0,48,"[1, 3, 4]",0.0032041420118343175,0,8.994082840236682e-06,0.0005823668639053251,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
4,SEHE90_2,48.0,48,"[1, 3, 4]",0.003580015140045416,0,1.5897047691143054e-05,0.0005977289931869789,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
5,SEHE90_2,48.0,48,"[1, 3, 4]",0.002960723514211886,0,2.1085271317829456e-05,0.00041819121447028425,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
6,SEHE90_2,48.0,48,"[1, 3, 4]",0.003542116630669537,0,8.639308855291555e-06,0.0004492440604751608,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
7,SEHE90_3,48.0,48,"[1, 3, 4, 6]",0.00873366398016119,0,0.00012486050836949783,0.0015574705517668937,0,0.00017743335399876005,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
8,SEHE90_3,48.0,48,"[1, 3, 4, 6]",0.010733259176863174,0,7.34149054505005e-05,0.0020703003337041144,0,0.00027897664071190194,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
9,SEHE90_3,48.0,48,"[1, 3, 4, 6]",0.006933333333333328,0,0.0,0.003466666666666664,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
10,SEHE90_3,48.0,48,"[1, 3, 4, 6]",0.01472,0,0.0,0.00368,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
11,SEHE90_1,24.0,48,[1],0.004599999999999993,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
12,SEHE90_1,24.0,48,[1],0.00399999999999999,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
13,SEHE90_1,24.0,48,[1],0.0039644444444444345,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
14,SEHE90_1,24.0,48,[1],0.0034,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
15,SEHE90_2,24.0,48,"[1, 3, 4]",0.004060989810771464,0,6.695778748180485e-06,0.0005323144104803486,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
16,SEHE90_2,24.0,48,"[1, 3, 4]",0.003527950310558997,0,1.0647737355811862e-05,0.0004507542147293688,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
17,SEHE90_2,24.0,48,"[1, 3, 4]",0.004242914979757085,0,1.94331983805668e-05,0.000534412955465587,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
18,SEHE90_2,24.0,48,"[1, 3, 4]",0.003360693641618495,0,1.7572254335260108e-05,0.0004173410404624275,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
19,SEHE90_3,24.0,48,"[1, 3, 4, 6]",0.003199696942686514,0,5.540600766556734e-05,0.0004155450574917551,0,0.15172935199215618,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
20,SEHE90_3,24.0,48,"[1, 3, 4, 6]",0.004067062445030783,0,2.3021108179419526e-05,0.00044507475813544413,0,0.06525716798592789,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
21,SEHE90_3,24.0,48,"[1, 3, 4, 6]",0.003295977582934105,0,2.9341046732351085e-05,0.0006748440748440749,0,0.10419983729548948,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
22,SEHE90_3,24.0,48,"[1, 3, 4, 6]",0.0037664125891320385,0,4.9127120727809205e-05,0.000491271207278092,0,0.040087730513892306,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
23,SEHE90_1,12.0,48,[1],0.00679293873312565,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
24,SEHE90_1,12.0,48,[1],0.006992125984251961,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
25,SEHE90_1,12.0,48,[1],0.006383202099737522,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
26,SEHE90_1,12.0,48,[1],0.009790457643622191,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
27,SEHE90_2,12.0,48,"[1, 3, 4]",0.34901685393258425,0,4.915730337078652e-05,0.0009339887640449438,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
28,SEHE90_2,12.0,48,"[1, 3, 4]",0.3363813241319819,0,0.0,0.0009944216806843506,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
29,SEHE90_2,12.0,48,"[1, 3, 4]",0.33942604548789435,0,0.0,0.000349024211298606,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
30,SEHE90_2,12.0,48,"[1, 3, 4]",0.05566101898101898,0,1.1228771228771228e-05,0.0005277522477522478,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
31,SEHE90_3,12.0,48,"[1, 3, 4, 6]",0.2184342403628118,0,0.0,0.00018594104308390026,0,0.2733798185941043,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
32,SEHE90_3,12.0,48,"[1, 3, 4, 6]",0.30499576522401967,0,0.0,0.00013593630896925553,0,0.22986829846701112,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
34,SEHE90_3,12.0,48,"[1, 3, 4, 6]",0.24817195887544352,0,4.669274861250114e-05,0.0001400782458375034,0,0.264794577381494,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
35,SEHE90_1,6.0,48,[1],0.0174,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
36,SEHE90_1,6.0,48,[1],0.010363585434173662,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
37,SEHE90_1,6.0,48,[1],0.018380570221752903,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
38,SEHE90_1,6.0,48,[1],0.0272,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
39,SEHE90_2,6.0,48,"[1, 3, 4]",0.24018697053752155,0,0.0,0.0007949621410900366,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
40,SEHE90_2,6.0,48,"[1, 3, 4]",0.23701746384020816,0,5.459554603198898e-05,0.0006733450677278641,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
41,SEHE90_2,6.0,48,"[1, 3, 4]",0.33978717948717946,0,0.0,0.003922507122507122,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
42,SEHE90_2,6.0,48,"[1, 3, 4]",0.24961035426486236,0,3.804166033145811e-05,0.0005325832446404136,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
43,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.16955528765180392,0,0.0,0.00013098129598439854,0,0.19961549508022342,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
44,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.16446861732644863,0,0.0,0.00011749856569133676,0,0.19378450946643713,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
45,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.16485810552109656,0,0.0,5.3265946856574015e-05,0,0.18288862853204688,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
47,SEHE90_1,3.0,48,[1],0.264,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
