,Sample,Condition,Concentration,Time,splist,sp1OD,sp2OD,sp3OD,sp4OD,sp5OD,sp6OD,sp7OD,sp8OD,sp9OD,sp10OD,sp11OD,sp12OD,sp13OD,sp14OD
3,P17B06,SEHE32_3_DP-,24,48,"['1', '4', '12']",0.010203545051698671,0.0,0.0,0.007787592319054652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016526144756277696,0.0,0.0
5,P17B03,SEHE32_2_DP,24,48,"['1', '3', '4']",0.35799809604599653,0.0,3.3856449408548945e-05,0.0007956265611009002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,P17B04,SEHE32_2_DP-,24,48,"['1', '4']",0.1007656513431494,0.0,0.0,0.0014386871979318876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,P17A03,SEHE32_2_DP,48,48,"['1', '3', '4']",0.017923141186299084,0.0,0.0006817042606516291,0.014798663324979115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,P17A11,SEHE32_6_DP,48,48,"['1', '3', '4', '7']",0.005014714344430743,0.0,0.00038191533086724195,0.0097803534730785,0.0,0.0,0.02499054665022605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,P17A04,SEHE32_2_DP-,48,48,"['1', '4']",0.01499705400981996,0.0,0.0,0.012264157119476263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,P17A05,SEHE32_3_DP,48,48,"['1', '3', '4', '12']",0.008035428571428568,0.0,0.0005417142857142856,0.006951999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015589333333333328,0.0,0.0
17,P17A06,SEHE32_3_DP-,48,48,"['1', '4', '12']",0.005877830637488109,0.0,0.0,0.006606279733587063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013363273073263566,0.0,0.0
19,P17A12,SEHE32_6_DP-,48,48,"['1', '4', '7']",0.0039226519337016595,0.0,0.0,0.007169400764980878,0.0,0.0,0.01709069273268169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,P17B05,SEHE32_3_DP,24,48,"['1', '3', '4', '12']",0.20833540058930827,0.0,5.926757401431177e-05,0.0007803563911884384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018570506524484354,0.0,0.0
22,P17D03,SEHE32_2_DP,6,48,"['1', '3', '4']",0.22029372621719193,0.0,2.1543565225875693e-05,0.000280066347936384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,P17B11,SEHE32_6_DP,24,48,"['1', '3', '4', '7']",0.07121360645561761,0.0,4.6679081315952816e-05,0.0009195779019242705,0.0,0.0,0.0029734574798261945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,P17B12,SEHE32_6_DP-,24,48,"['1', '4', '7']",0.00583296354992076,0.0,0.0,0.006967828843106179,0.0,0.0,0.017718541996830425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,P17C11,SEHE32_6_DP,12,48,"['1', '3', '4', '7']",0.21905504968800557,0.0,2.4626762190894388e-05,0.00043096833834065177,0.0,0.0,0.046618460827363074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,P17D05,SEHE32_3_DP,6,48,"['1', '3', '4', '12']",0.224028483285288,0.0,3.4026197339806804e-05,0.0001020785920194204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4469000758610226,0.0,0.0
